"","caseid","ideol7b","presvote","retecon","white","female","age","educ1_7","income","partyid","bushiraq","exptrnout2"
"371",1183,"Ext Cons.","Bush",0,1,1,49,4,21,6,0.6666667,"Standard"
"372",1188,"Liberal","Kerry",-1,1,0,24,6,12,1,0,"Standard"
"373",1189,"Slig. Cons","Bush",0,1,0,50,7,18,5,0.6666667,"Standard"
"374",1191,"Moderate","Kerry",0.5,1,1,63,7,11,2,0,"Standard"
"375",1193,"Moderate","Kerry",0,0,1,44,4,2,2,0,"Standard"
"376",1194,"Cons","Bush",-0.5,1,1,65,6,14,3,1,"Standard"
"377",1199,"Moderate","Bush",0,1,0,42,4,14,4,1,"Standard"
"378",1200,"Slig. Liberal","Kerry",-0.5,0,0,26,6,18,1,0,"Standard"
"379",1201,"Moderate","Bush",0.5,1,0,44,3,20,3,0,"Standard"
"380",1207,"Moderate","Kerry",0.5,1,0,42,7,21,2,0,"Standard"
"381",1208,"Slig. Liberal","Kerry",0,0,0,50,6,23,2,0,"Standard"
"382",1209,"Moderate","Bush",-0.5,1,1,24,3,6,5,1,"Standard"
"383",1211,"Cons","Bush",0,1,0,66,6,18,6,1,"Standard"
